Fecha;Canal;Hora;Programa;Espectadores;Share(%);
2019-04-04;LA2;10:57;DOCUMENTA2;34.000;1.2%;
2019-04-04;LA2;10:57;LENIN,GORKI,LA REVOLUCION A DESTIEMPO;35.000;1.2%;
2019-04-04;LA2;11:52;50 AÑOS DE... / CALLE POR AIXALA;43.000;1.4%;
2019-04-04;LA2;12:19;LA AVENTURA DEL SABER EXPRESS;58.000;1.8%;
2019-04-04;LA2;12:39;MAÑANAS DE CINE / EL SECRETO DEL CAPITAN O'HARA;164.000;3.2%;
2019-04-04;LA2;14:07;S.O.S ALIMENTOS,KARRA AL RESCATE / VIZCAYA;171.000;1.8%;
2019-04-04;LA2;14:54;LOS HABITANTES DEL BOSQUE / LA EDAD DE ORO DEL BOSQUE;283.000;2.4%;
2019-04-04;LA2;15:48;SABER Y GANAR;994.000;8.6%;
2019-04-04;LA2;16:31;GRANDES DOCUMENTALES;452.000;4.4%;
2019-04-04;LA2;16:32;INFIERNO ARABIGO / LAS MARAVILLAS DEL WADI;516.000;4.8%;
2019-04-04;LA2;17:17;HISTORIAS NATURALES / CUIDANDO LA VIDA;393.000;4%;
2019-04-04;LA2;18:10;D.REG(DOCUMENTA2);227.000;2.5%;
2019-04-04;LA2;18:10;DOCUMENTA2;219.000;2.4%;
2019-04-04;LA2;18:10;PROGRAMA INESPERAT;7.000;0.1%;
2019-04-04;LA2;18:10;D.REG(SECRETOS DE LOS MUSEOS);227.000;2.5%;
2019-04-04;LA2;18:10;SECRETOS DE LOS MUSEOS;219.000;2.4%;
2019-04-04;LA2;18:55;D.REG(LAS RECETAS DE JULIE) / REGION DE APT;203.000;2.2%;
2019-04-04;LA2;18:55;LAS RECETAS DE JULIE / REGION DE APT;196.000;2.1%;
2019-04-04;LA2;19:01;LAS RECETAS DE JULIE / REGION DE APT;8.000;0.1%;
2019-04-04;LA2;20:03;CONSTRUCCIONES ECOLOGICAS / UN BARRIO PIONERO;105.000;0.9%;
2019-04-04;LA2;20:30;LA 2 NOTICIAS;123.000;0.9%;
2019-04-04;LA2;21:01;ATENCION OBRAS;146.000;1%;
2019-04-04;LA2;21:31;ESE PROGRAMA DEL QUE USTED ME HABLA;223.000;1.3%;
2019-04-04;LA2;22:03;DOCUMASTER;951.000;5.2%;
2019-04-04;LA2;22:03;CINE / EL SILENCIO DE OTROS;951.000;5.2%;
2019-04-04;LA2;23:34;CRONICAS / VIDA EN TRANS;338.000;2.6%;
